#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
167	J0511-6508	0.322061827	2.06E-16	0.818	-0.467	-0.669	8.439	2.48E+07	2.61E+11	2.40E+32
168	J0803-0942	0.571256559	1.16E-15	0.818	0.159	-0.615	9.015	7.80E+06	8.24E+11	2.50E+32
169	J0357+3205	0.444104499	1.30E-14	0.835	-0.23	0.238	9.267	5.40E+05	2.43E+12	5.90E+33
170	B1648-17	0.973393692	3.04E-15	0.836	0.243	0.039	7.701	5.08E+06	1.74E+12	1.30E+32
171	J1631-1612	0.677683912	1.10E-15	0.839	0.303	0.008	7.718	9.80E+06	8.72E+11	1.40E+32
172	B1237+25	1.382449103	9.60E-16	0.84	0.838	-0.048	8.515	2.28E+07	1.17E+12	1.40E+31
173	J1653-0158	0.001967682	2.40E-21	0.84	0.354	0.218	7.77	1.30E+10	6.96E+07	1.20E+34
174	J1514-5316	0.296279212	1.60E-18	0.85	0.056	-0.505	7.819	2.93E+09	2.20E+10	2.40E+30
175	J1116-2444	0.86794888	9.85E-16	0.855	0.469	-0.709	8.413	1.40E+07	9.36E+11	5.90E+31
176	J2302+4442	0.005192325	1.38E-20	0.859	-0.208	0.811	8.693	5.97E+09	2.71E+08	3.90E+33
177	J0006+1834	0.69374767	2.10E-15	0.86	-0.586	0.598	8.696	5.24E+06	1.22E+12	2.50E+32
178	B2327-20	1.643622185	4.63E-15	0.861	-0.81	0.222	8.31	5.62E+06	2.79E+12	4.10E+31
179	J1232-4742	1.872994377	1.40E-17	0.871	0.226	-0.731	8.084	2.12E+09	1.64E+11	8.40E+28
180	J1320-3512	0.458488407	1.90E-18	0.873	0.4	-0.598	8.006	3.82E+09	2.99E+10	7.80E+29
181	J2015+2524	2.303299082	5.10E-16	0.877	-0.08	0.792	8.131	7.16E+07	1.10E+12	1.60E+30
182	J1125+7819	0.004201609	6.96E-21	0.878	0.539	0.544	8.929	9.57E+09	1.73E+08	3.70E+33
183	J1658-5324	0.002439296	1.12E-20	0.88	-0.102	-0.371	7.709	3.46E+09	1.67E+08	3.00E+34
184	J1809-2332	0.146788548	3.44E-14	0.88	-0.031	0.113	7.628	6.76E+04	2.27E+12	4.30E+35
185	J1332-3032	0.650434491	5.60E-16	0.882	0.461	-0.546	7.983	1.84E+07	6.11E+11	8.00E+31
186	J0807-5421	0.526643531	3.78E-16	0.887	-0.178	-0.869	8.519	2.21E+07	4.51E+11	1.00E+32
187	J0900-3144	0.011109649	4.89E-20	0.89	0.147	-0.852	8.71	3.60E+09	7.46E+08	1.40E+33
188	B0943+10	1.097705705	3.49E-15	0.892	0.61	-0.464	8.957	4.98E+06	1.98E+12	1.00E+32
189	J1901-1740	1.95685759	8.23E-16	0.894	-0.156	0.274	7.664	3.77E+07	1.28E+12	4.30E+30
190	B2224+65	0.682542497	9.66E-15	0.9	0.107	0.847	8.786	1.12E+06	2.60E+12	1.20E+33
191	J1514-4946	0.003589337	1.86E-20	0.909	0.108	-0.514	7.758	3.05E+09	2.62E+08	1.60E+34
192	J1829+2456	0.041009824	5.25E-20	0.915	0.246	0.707	7.974	1.24E+10	1.48E+09	3.00E+31
193	B1036-58	0.661992094	1.25E-15	0.917	0	-0.88	8.243	8.38E+06	9.21E+11	1.70E+32
194	B0149-16	0.832741613	1.30E-15	0.92	-0.877	0.003	8.777	1.02E+07	1.05E+12	8.90E+31
195	J1858-2216	0.002384013	3.80E-21	0.921	-0.182	0.212	7.622	9.94E+09	9.63E+07	1.10E+34
196	J1641-2347	1.09100843	4.11E-17	0.922	0.234	-0.065	7.611	4.21E+08	2.14E+11	1.20E+30
197	B1112+50	1.65643976	2.49E-15	0.923	0.802	0.197	8.912	1.05E+07	2.06E+12	2.20E+31
198	J1210-6550	4.237010216	4.30E-16	0.923	-0.053	-0.808	8.056	1.56E+08	1.37E+12	2.20E+29
199	B1601-52	0.658013413	2.56E-16	0.925	-0.008	-0.466	7.701	4.07E+07	4.15E+11	3.50E+31
200	J1723-2837	0.001855733	7.50E-21	0.928	0.069	-0.039	7.575	3.90E+09	1.20E+08	4.70E+34
201	J0740+6620	0.002885736	1.22E-20	0.929	0.459	0.407	9.198	3.75E+09	1.90E+08	2.00E+34
202	J1903-7051	0.003597898	1.04E-20	0.93	-0.415	-0.485	7.823	5.46E+09	1.96E+08	8.80E+33
203	B1541-52	0.178553873	6.03E-17	0.932	0.021	-0.504	7.716	4.70E+07	1.05E+11	4.20E+32
204	J1020-5921	1.238305344	4.05E-14	0.938	-0.032	-0.907	8.262	4.85E+05	7.16E+12	8.40E+32
205	J1757-5322	0.008869961	2.63E-20	0.945	-0.228	-0.319	7.64	5.34E+09	4.89E+08	1.50E+33
206	B2045-16	1.961572304	1.10E-14	0.95	-0.518	0.404	7.814	2.84E+06	4.69E+12	5.70E+31
207	J1625-0021	0.002833614	2.13E-20	0.951	0.502	0.194	7.716	2.11E+09	2.49E+08	3.70E+34
208	B0320+39	3.032071956	6.36E-16	0.952	-0.236	0.431	9.316	7.56E+07	1.40E+12	9.00E+29
209	J1851-0053	1.409065241	8.70E-16	0.959	-0.005	0.51	7.688	2.56E+07	1.12E+12	1.20E+31
210	J1157-5112	0.043589227	1.43E-19	0.96	0.179	-0.859	8.111	4.83E+09	2.53E+09	6.80E+31
211	J1629-6902	0.006000603	1.00E-20	0.962	-0.232	-0.596	7.781	9.51E+09	2.48E+08	1.80E+33
212	J2241-5236	0.0021867	6.64E-21	0.963	-0.788	-0.212	7.989	5.22E+09	1.22E+08	2.50E+34
213	J1518+4904	0.040934989	2.72E-20	0.964	0.783	0.556	8.41	2.39E+10	1.07E+09	1.60E+31
214	J0514-4408	0.320270822	2.04E-15	0.966	-0.559	-0.738	8.776	2.48E+06	8.18E+11	2.50E+33
215	J2234+0611	0.003576582	1.20E-20	0.971	-0.662	0.679	8.292	4.72E+09	2.10E+08	1.00E+34
216	J1434+7257	0.041741148	5.50E-19	0.974	0.654	0.664	8.783	1.20E+09	4.85E+09	3.00E+32
217	J1729-2117	0.066292899	1.72E-19	0.974	0.122	0.076	7.537	6.11E+09	3.42E+09	2.30E+31
218	J1536-4948	0.003079914	2.12E-20	0.978	0.082	-0.514	7.672	2.30E+09	2.59E+08	2.90E+34
219	B2016+28	0.55795348	1.48E-16	0.98	-0.068	0.907	8.135	5.97E+07	2.91E+11	3.40E+31
220	B1010-23	2.517945021	8.81E-16	0.983	0.437	-0.872	8.621	4.53E+07	1.51E+12	2.20E+30
221	B1717-16	1.565601148	5.80E-15	0.988	0.198	0.124	7.54	4.28E+06	3.05E+12	6.00E+31
222	J1125-6014	0.002630381	4.01E-21	0.989	0.015	-0.914	8.122	1.04E+10	1.04E+08	8.70E+33
223	B1454-51	1.748307505	5.30E-15	0.994	0.116	-0.606	7.721	5.23E+06	3.08E+12	3.90E+31
224	B0355+54	0.156384122	4.39E-15	1	0.014	0.527	9.35	5.64E+05	8.39E+11	4.50E+34
225	B0906-49	0.106769037	1.51E-14	1	-0.018	-1	8.495	1.12E+05	1.28E+12	4.90E+35
226	J0101-6422	0.002573152	5.16E-21	1.002	-0.797	-0.519	8.186	7.90E+09	1.17E+08	1.20E+34
227	B0917+63	1.567994018	3.61E-15	1.003	0.654	0.364	9.168	6.89E+06	2.41E+12	3.70E+31
228	J1735-0243	0.782886977	6.32E-16	1.004	0.267	0.356	7.6	1.96E+07	7.12E+11	5.20E+31
