#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
1763	J1901+0355	0.554756465	1.27E-14	6.685	-0.052	4.077	3.202	6.90E+05	2.69E+12	2.90E+33
1764	J1612-5136	0.483310511	3.78E-15	6.69	-0.022	-3.202	2.626	2.02E+06	1.37E+12	1.30E+33
1765	J1805-2032	0.405769488	8.39E-15	6.694	0.037	1.108	1.898	7.66E+05	1.87E+12	5.00E+33
1766	J1424-5822	0.366736188	3.94E-15	6.695	0.27	-4.739	3.778	1.48E+06	1.22E+12	3.10E+33
1767	J1700-4012	0.283791854	9.90E-17	6.699	0.144	-1.678	2.016	4.54E+07	1.70E+11	1.70E+32
1768	J1850-0026	0.166633924	3.91E-14	6.71	0.008	3.596	2.835	6.75E+04	2.58E+12	3.30E+35
1769	B1925+22	1.431066414	7.71E-16	6.712	0.32	5.622	4.847	2.94E+07	1.06E+12	1.00E+31
1770	J1845-1114	0.206219981	2.01E-15	6.715	-0.452	2.54	2.3	1.63E+06	6.51E+11	9.00E+33
1771	J1906+1854	1.019092771	2.05E-16	6.721	0.615	5.238	4.334	7.86E+07	4.63E+11	7.70E+30
1772	J1932-3655	0.571420529	2.86E-16	6.724	-2.686	0.223	2.34	3.16E+07	4.09E+11	6.10E+31
1773	J1628-4828	4.137538524	1.75E-14	6.726	0.021	-2.79	2.38	3.74E+06	8.62E+12	9.80E+30
1774	J1648-3256	0.719454779	3.53E-15	6.729	0.907	-1.205	1.942	3.23E+06	1.61E+12	3.70E+32
1775	J1603-5657	0.496077113	2.80E-15	6.73	-0.388	-3.671	2.873	2.81E+06	1.19E+12	9.00E+32
1776	B1322-66	0.543015041	5.33E-15	6.734	-0.513	-5.411	4.524	1.62E+06	1.72E+12	1.30E+33
1777	J2036+2835	1.358726763	2.09E-15	6.741	-0.866	6.298	6.259	1.03E+07	1.71E+12	3.30E+31
1778	J1644-4657	0.125962232	7.50E-16	6.749	-0.095	-2.48	2.224	2.66E+06	3.11E+11	1.50E+34
1779	J1810-1441	0.2172135	2.39E-17	6.755	0.24	1.778	1.988	1.44E+08	7.29E+10	9.20E+31
1780	J1947+1957	0.157508543	5.23E-16	6.767	-0.314	5.668	4.817	4.78E+06	2.90E+11	5.30E+33
1781	J1943+2210	0.005084174	8.80E-21	6.774	-0.086	5.772	4.955	9.17E+09	2.14E+08	2.60E+33
1782	J1724-3505	1.221707692	2.11E-14	6.775	0.045	-0.892	1.784	9.17E+05	5.14E+12	4.60E+32
1783	J1406-4233	2.436795432	6.81E-16	6.785	2.122	-4.371	3.764	5.67E+07	1.30E+12	1.90E+30
1784	J1839-0905	0.418974904	2.60E-14	6.815	-0.189	2.72	2.254	2.55E+05	3.34E+12	1.40E+34
1785	J1746+2245	3.465037783	4.92E-15	6.831	2.784	4.581	4.266	1.12E+07	4.18E+12	4.70E+30
1786	B1508-57	0.128698573	6.85E-15	6.835	-0.013	-4.322	3.205	2.98E+05	9.50E+11	1.30E+35
1787	J1616-5109	1.219593883	1.91E-14	6.842	-0.04	-3.188	2.446	1.01E+06	4.88E+12	4.20E+32
1788	J2319+6411	0.216018279	1.63E-16	6.848	0.368	6.288	11.187	2.10E+07	1.90E+11	6.40E+32
1789	J1425-6210	0.50173031	4.80E-16	6.851	-0.15	-4.958	3.774	1.66E+07	4.96E+11	1.50E+32
1790	J1519-5734	0.518757785	4.27E-15	6.851	-0.028	-4.237	3.116	1.92E+06	1.51E+12	1.20E+33
1791	J2228+6447	1.892981804	6.70E-16	6.855	0.717	6.467	10.659	4.48E+07	1.14E+12	3.90E+30
1792	J1842-0153	1.05422825	6.72E-15	6.875	0.123	3.466	2.564	2.48E+06	2.69E+12	2.30E+32
1793	J1615-5444	0.360957675	3.38E-16	6.882	-0.332	-3.481	2.572	1.69E+07	3.53E+11	2.80E+32
1794	J1628-4804	0.865970963	1.24E-15	6.887	0.055	-2.827	2.22	1.10E+07	1.05E+12	7.60E+31
1795	J1957+2831	0.307682865	3.11E-15	6.891	-0.027	6.272	5.645	1.57E+06	9.90E+11	4.20E+33
1796	J1854+0317	1.366449647	1.85E-15	6.893	0.099	4.071	2.939	1.17E+07	1.61E+12	2.90E+31
1797	B1557-50	0.1926049	5.06E-15	6.9	0.196	-3.376	2.486	6.03E+05	9.99E+11	2.80E+34
1798	J1748-2446aj	0.00295891	1.41E-19	6.9	0.203	0.462	1.618	3.32E+08	6.54E+08	2.20E+35
1799	J1748-2446ak	0.001890107	8.85E-20	6.9	0.204	0.462	1.618	3.38E+08	4.14E+08	5.20E+35
1800	J1728-4028	0.866342509	2.30E-16	6.904	-0.388	-1.389	1.748	5.90E+07	4.54E+11	1.40E+31
1801	J2007+3120	0.608205315	1.56E-14	6.906	-0.064	6.449	6.03	6.18E+05	3.12E+12	2.70E+33
1802	B1851-14	1.146594847	4.16E-15	6.91	-0.867	2.396	2.077	4.37E+06	2.21E+12	1.10E+32
1803	J1550-5317	1.421124345	9.35E-16	6.932	0.089	-3.696	2.636	2.41E+07	1.17E+12	1.30E+31
1804	J1946+3417	0.003170139	3.12E-21	6.941	0.57	6.471	6.054	1.61E+10	1.01E+08	3.90E+33
1805	J2030+3641	0.200128588	6.50E-15	6.947	-0.174	6.742	6.834	4.88E+05	1.15E+12	3.20E+34
1806	J1900+0438	0.312314406	3.23E-15	6.988	0.021	4.309	2.998	1.53E+06	1.02E+12	4.20E+33
1807	J1101-6101	0.062800077	8.60E-15	7	-0.114	-6.575	6.102	1.16E+05	7.42E+11	1.40E+36
1808	J1400-6325	0.031181601	3.89E-14	7	-0.195	-5.313	3.947	1.27E+04	1.11E+12	5.10E+37
1809	B1859+03	0.655450239	7.46E-15	7	-0.078	4.233	2.926	1.39E+06	2.24E+12	1.00E+33
1810	B1900+06	0.673505459	7.71E-15	7	0.041	4.482	3.123	1.38E+06	2.31E+12	1.00E+33
1811	B1904+06	0.267275008	2.14E-15	7	-0.037	4.556	3.186	1.98E+06	7.65E+11	4.40E+33
1812	B1913+10	0.404551767	1.53E-14	7	-0.079	4.924	3.525	4.20E+05	2.51E+12	9.10E+33
1813	J1930+1852	0.136855047	7.51E-13	7	0.032	5.67	4.395	2.89E+03	1.03E+13	1.20E+37
1814	J0529-0715	0.689223601	5.76E-16	7.002	-2.576	-3.262	14.135	1.90E+07	6.37E+11	6.90E+31
1815	J1855+0205	0.24681677	6.47E-17	7.042	0.001	4.067	2.751	6.05E+07	1.28E+11	1.70E+32
1816	J1538-5638	0.843980397	7.12E-15	7.043	-0.107	-4.102	2.776	1.88E+06	2.48E+12	4.70E+32
1817	J1701-3006D	0.00341777	1.26E-19	7.05	0.898	-0.782	1.551	4.31E+08	6.63E+08	1.20E+35
1818	J1701-3006E	0.003233737	3.10E-19	7.05	0.898	-0.782	1.551	1.65E+08	1.01E+09	3.60E+35
1819	J1701-3006F	0.002294727	2.22E-19	7.05	0.898	-0.783	1.551	1.64E+08	7.22E+08	7.30E+35
1820	J1843-0744	0.475392527	1.33E-14	7.053	-0.207	2.99	2.115	5.66E+05	2.54E+12	4.90E+33
1821	J1502-5828	0.668105151	3.64E-14	7.093	0.016	-4.616	3.115	2.91E+05	4.99E+12	4.80E+33
1822	J1539-6322	1.63084631	2.02E-16	7.095	-0.79	-4.486	3.06	1.28E+08	5.80E+11	1.80E+30
1823	J1754-3443	0.361690596	5.71E-16	7.098	-0.57	-0.494	1.442	1.00E+07	4.60E+11	4.80E+32
1824	J1641+3627C	0.003722082	1.23E-21	7.1	4.65	4.599	5.736	4.78E+10	6.86E+07	9.40E+32
1825	J1641+3627E	0.002486982	1.74E-20	7.1	4.65	4.6	5.737	2.26E+09	2.11E+08	4.50E+34
1826	J2007+2722	0.024497389	9.61E-19	7.102	-0.334	6.466	5.582	4.04E+08	4.91E+09	2.60E+33
1827	J1845-0743	0.104694652	3.67E-16	7.113	-0.286	3.052	2.081	4.52E+06	1.98E+11	1.30E+34
1828	J1412-6145	0.315258433	9.90E-14	7.115	-0.045	-5.26	3.709	5.04E+04	5.65E+12	1.20E+35
1829	B1937+24	0.645302469	1.83E-14	7.115	0.169	6.171	4.962	5.60E+05	3.47E+12	2.70E+33
1830	B2011+38	0.230193614	8.85E-15	7.123	0.308	6.903	6.77	4.12E+05	1.44E+12	2.90E+34
1831	J1909+1148	0.448945467	7.25E-17	7.126	0.176	5.081	3.506	9.81E+07	1.83E+11	3.20E+31
1832	J1915+1410	0.297494122	4.89E-17	7.128	0.149	5.319	3.757	9.63E+07	1.22E+11	7.30E+31
1833	J1833-0559	0.48345888	1.24E-14	7.134	0.164	3.072	2.063	6.20E+05	2.47E+12	4.30E+33
1834	J1913+1102	0.027285007	1.61E-19	7.14	0.024	5.071	3.473	2.69E+09	2.12E+09	3.10E+32
1835	J1747-4036	0.00164561	1.31E-20	7.151	-0.799	-1.209	1.497	1.98E+09	1.49E+08	1.20E+35
1836	J1710-4148	0.286561229	1.02E-16	7.193	-0.15	-1.821	1.543	4.45E+07	1.73E+11	1.70E+32
1837	J1138-6207	0.117563794	1.25E-14	7.197	-0.058	-6.548	5.515	1.49E+05	1.23E+12	3.00E+35
1838	B1810+02	0.793902802	3.60E-15	7.197	1.212	3.623	2.401	3.49E+06	1.71E+12	2.80E+32
1839	J1355-5925	1.213381227	5.99E-15	7.208	0.306	-5.429	3.769	3.21E+06	2.73E+12	1.30E+32
1840	J1634-5107	0.507356003	1.57E-15	7.212	-0.288	-3.14	2.014	5.11E+06	9.04E+11	4.80E+32
1841	B1630-59	0.529121257	1.37E-15	7.214	-1.043	-3.809	2.463	6.13E+06	8.61E+11	3.60E+32
1842	J1858+0215	0.745828032	4.61E-15	7.229	-0.062	4.221	2.632	2.56E+06	1.88E+12	4.40E+32
1843	J1611-4949	0.666437923	5.40E-16	7.234	0.144	-3.33	2.079	1.95E+07	6.08E+11	7.20E+31
1844	B1729-41	0.627980684	1.28E-14	7.235	-0.563	-1.502	1.445	7.75E+05	2.87E+12	2.00E+33
1845	J1731-3123	0.753047989	1.68E-15	7.241	0.171	-0.476	1.277	7.11E+06	1.14E+12	1.60E+32
1846	J1857+0210	0.630983058	1.40E-14	7.259	-0.05	4.224	2.597	7.12E+05	3.01E+12	2.20E+33
1847	J1950+2414	0.004304775	1.88E-20	7.269	-0.148	6.362	4.987	3.63E+09	2.88E+08	9.30E+33
1848	J1904-1224	0.750808122	7.42E-16	7.274	-1.074	2.845	1.892	1.60E+07	7.55E+11	6.90E+31
1849	J2240+5832	0.1399345	1.54E-14	7.275	-0.014	6.973	10.574	1.44E+05	1.48E+12	2.20E+35
1850	J1341-6023	0.627285366	1.95E-14	7.278	0.24	-5.65	3.919	5.11E+05	3.54E+12	3.10E+33
1851	B1713-40	0.887719456	3.70E-15	7.283	-0.241	-1.667	1.414	3.80E+06	1.83E+12	2.10E+32
1852	J1617-4216	3.42846631	1.81E-14	7.287	0.752	-2.654	1.755	3.00E+06	7.98E+12	1.80E+31
1853	J1536-3602	1.319759042	7.90E-16	7.29	1.99	-2.79	2.066	2.65E+07	1.03E+12	1.40E+31
1854	J1406-6121	0.213074654	5.47E-14	7.297	0.026	-5.436	3.632	6.17E+04	3.45E+12	2.20E+35
1855	J1824-2537	0.223320267	4.40E-16	7.301	-0.753	0.9	1.294	8.04E+06	3.17E+11	1.60E+33
1856	J2009+3326	1.438368602	1.47E-15	7.303	0.016	6.909	6.135	1.55E+07	1.47E+12	1.90E+31
1857	J1252-6314	0.823339271	1.10E-16	7.317	-0.047	-6.131	4.507	1.20E+08	3.02E+11	7.70E+30
1858	J1356-5521	0.507379567	7.24E-16	7.317	0.808	-5.387	3.615	1.11E+07	6.13E+11	2.20E+32
1859	J1339-6618	0.558179222	3.50E-16	7.327	-0.497	-5.777	4.021	2.53E+07	4.47E+11	7.90E+31
1860	J1817-1511	0.224603837	1.43E-15	7.341	0.05	1.973	1.429	2.49E+06	5.74E+11	5.00E+33
1861	B1943+18	1.068707691	2.42E-16	7.351	-0.384	6.056	4.351	7.00E+07	5.15E+11	7.80E+30
1862	J1635-4944	0.671964199	8.79E-15	7.36	-0.202	-3.064	1.811	1.21E+06	2.46E+12	1.10E+33
1863	J1637-4816	0.837365302	5.83E-15	7.362	-0.107	-2.911	1.739	2.27E+06	2.24E+12	3.90E+32
1864	J1724-4500	1.309108787	3.51E-15	7.366	-0.657	-2	1.441	5.90E+06	2.17E+12	6.20E+31
1865	J1700-3312	1.358307011	4.71E-15	7.386	0.706	-1.143	1.237	4.57E+06	2.56E+12	7.40E+31
1866	J1906+0746	0.144073155	2.03E-14	7.4	0.019	4.913	2.966	1.13E+05	1.73E+12	2.70E+35
1867	J1128-6219	0.515983511	1.10E-17	7.401	-0.125	-6.786	5.55	7.43E+08	7.62E+10	3.20E+30
1868	J1848-0055	0.274556685	1.35E-15	7.408	0.022	3.903	2.204	3.22E+06	6.16E+11	2.60E+33
1869	J1344-6059	0.540102321	4.30E-17	7.414	0.157	-5.733	3.801	1.99E+08	1.54E+11	1.10E+31
1870	J1906+0912	0.77534459	1.32E-16	7.414	0.114	5.041	3.064	9.29E+07	3.24E+11	1.10E+31
1871	J1613-5234	0.655220596	6.63E-15	7.421	-0.141	-3.601	2.013	1.57E+06	2.11E+12	9.30E+32
1872	J1558-5419	0.594575264	6.04E-15	7.43	-0.113	-3.926	2.193	1.56E+06	1.92E+12	1.10E+33
1873	J1524-5706	1.116174457	3.56E-13	7.434	-0.024	-4.519	2.597	4.96E+04	2.02E+13	1.00E+34
1874	B1131-62	1.022875141	4.52E-16	7.448	-0.169	-6.791	5.446	3.59E+07	6.88E+11	1.70E+31
1875	J1626-4807	0.293928189	1.75E-14	7.453	0.083	-3.087	1.717	2.66E+05	2.29E+12	2.70E+34
1876	J1949+3106	0.013138183	9.39E-20	7.468	0.333	6.86	5.568	2.22E+09	1.12E+09	1.60E+33
1877	J1937+2950	1.657428783	3.48E-15	7.477	0.536	6.731	5.29	7.54E+06	2.43E+12	3.00E+31
1878	J1855+0306	1.633565179	6.97E-15	7.479	0.063	4.414	2.463	3.71E+06	3.41E+12	6.30E+31
1879	B1516+02A	0.005553593	4.12E-20	7.5	5.467	0.347	3.378	2.13E+09	4.84E+08	9.50E+33
1880	J1518+0204C	0.002483928	2.61E-20	7.5	5.467	0.345	3.377	1.51E+09	2.58E+08	6.70E+34
1881	J1901+0234	0.885240281	2.30E-14	7.523	-0.138	4.46	2.443	6.09E+05	4.57E+12	1.30E+33
1882	J1344-5855	0.252397929	2.91E-15	7.537	0.425	-5.782	3.684	1.37E+06	8.68E+11	7.20E+33
1883	J1355-6206	0.276603043	3.10E-18	7.542	-0.02	-5.749	3.619	1.41E+09	2.96E+10	5.80E+30
1884	J1524-5819	0.961042627	1.26E-13	7.546	-0.158	-4.654	2.563	1.21E+05	1.11E+13	5.60E+33
1885	J1907+1149	1.420160341	1.60E-13	7.551	0.241	5.364	3.19	1.41E+05	1.52E+13	2.20E+33
1886	J1555-2908	0.00179	4.45E-20	7.555	2.398	-1.917	1.597	6.37E+08	2.86E+08	3.10E+35
1887	J1946+2611	0.435060255	2.20E-14	7.555	0.078	6.69	4.991	3.14E+05	3.13E+12	1.10E+34
1888	J1821-0331	0.902315629	2.53E-15	7.556	0.656	3.346	1.757	5.65E+06	1.53E+12	1.40E+32
1889	J1913+3732	0.851078949	1.38E-15	7.584	1.593	6.927	5.855	9.78E+06	1.10E+12	8.80E+31
1890	J1953+2732	1.333964994	1.77E-15	7.595	0.008	6.838	5.195	1.19E+07	1.56E+12	2.90E+31
1891	J1944+2236	0.003617993	7.50E-21	7.6	-0.088	6.507	4.575	7.68E+09	1.66E+08	6.20E+33
1892	J1909+0912	0.222949273	3.58E-14	7.608	0.034	5.204	2.951	9.87E+04	2.86E+12	1.30E+35
1893	J2222+2923	0.281399143	6.17E-18	7.631	-3.011	7.008	8.261	7.23E+08	4.22E+10	1.10E+31
1894	J1425-5759	0.707867606	7.42E-16	7.636	0.348	-5.373	3.086	1.51E+07	7.33E+11	8.30E+31
1895	B1902-01	0.643183348	3.06E-15	7.644	-0.473	4.232	2.152	3.33E+06	1.42E+12	4.50E+32
1896	J2048+2255	0.283900964	1.52E-17	7.648	-1.713	6.884	5.642	2.97E+08	6.64E+10	2.60E+31
1897	B1946+35	0.717311174	7.06E-15	7.65	0.673	7.192	5.982	1.61E+06	2.28E+12	7.60E+32
1898	J1843-0137	0.669872387	2.47E-15	7.662	0.145	3.893	1.902	4.30E+06	1.30E+12	3.20E+32
1899	J2004+2653	0.66587862	5.67E-17	7.665	-0.338	6.942	5.267	1.86E+08	1.97E+11	7.60E+30
1900	J1913+1000	0.837148196	1.67E-14	7.671	-0.026	5.356	3.009	7.92E+05	3.79E+12	1.10E+33
1901	J1517-4636	0.886612497	2.10E-15	7.675	1.229	-4.082	2.118	6.70E+06	1.38E+12	1.20E+32
1902	J1802+0128	0.554261604	2.11E-15	7.681	1.539	3.604	1.894	4.16E+06	1.09E+12	4.90E+32
1903	J1429-5935	0.763914831	4.28E-14	7.685	0.127	-5.429	3.062	2.83E+05	5.78E+12	3.80E+33
1904	J1833-1055	0.633640298	5.27E-16	7.698	-0.153	2.787	1.326	1.91E+07	5.85E+11	8.20E+31
1905	J1803-3002A	0.007101393	4.00E-20	7.7	-0.528	0.138	0.819	2.81E+09	5.39E+08	4.40E+33
1906	J1934+5219	0.568442283	8.40E-17	7.713	2.002	7.414	7.785	1.07E+08	2.21E+11	1.80E+31
1907	J1502-6752	0.026744424	3.15E-19	7.73	-1.085	-5.431	3.107	1.35E+09	2.93E+09	6.50E+32
1908	J1635-4513	1.59474555	3.60E-15	7.735	0.199	-2.805	1.294	7.02E+06	2.42E+12	3.50E+31
1909	J1700-4422	0.75553541	4.00E-17	7.743	-0.184	-2.362	1.128	2.99E+08	1.76E+11	3.70E+30
1910	J1822+1120	1.787036805	2.35E-15	7.776	1.56	4.883	2.653	1.21E+07	2.07E+12	1.60E+31
1911	B1802-07	0.023100855	4.67E-19	7.8	0.92	2.749	1.259	7.84E+08	3.32E+09	1.50E+33
1912	J1803-3329	0.633411983	3.37E-16	7.811	-0.767	-0.269	0.731	2.98E+07	4.68E+11	5.20E+31
1913	J1407-6048	0.492344207	3.16E-15	7.86	0.093	-5.829	3.228	2.47E+06	1.26E+12	1.00E+33
1914	J1824-2328	1.505874552	1.74E-15	7.867	-0.675	1.231	0.759	1.37E+07	1.64E+12	2.00E+31
1915	J1916+1023	1.618338921	6.80E-16	7.877	-0.109	5.572	2.934	3.77E+07	1.06E+12	6.30E+30
1916	J1839-0321	0.238782183	1.25E-14	7.885	0.151	3.774	1.578	3.02E+05	1.75E+12	3.60E+34
1917	J1849-0040	0.672480607	1.11E-14	7.887	0.027	4.188	1.817	9.56E+05	2.77E+12	1.40E+33
1918	B1820-30A	0.005440004	3.38E-18	7.9	-1.088	0.381	0.684	2.55E+07	4.34E+09	8.30E+35
1919	B1820-30B	0.378596492	2.99E-17	7.9	-1.088	0.381	0.685	2.01E+08	1.08E+11	2.20E+31
1920	J1823-3021C	0.405935963	2.24E-16	7.9	-1.088	0.381	0.685	2.87E+07	3.05E+11	1.30E+32
1921	J1851-0241	0.435193852	7.96E-15	7.922	-0.164	4.022	1.677	8.66E+05	1.88E+12	3.80E+33
1922	J1513-6013	1.958737042	1.37E-15	7.928	-0.289	-5.119	2.453	2.26E+07	1.66E+12	7.20E+30
1923	J1841-0157	0.663321098	1.81E-14	7.93	0.168	3.976	1.641	5.81E+05	3.50E+12	2.40E+33
1924	J1910+0225	0.337854845	2.62E-16	7.932	-0.423	4.792	2.193	2.04E+07	3.01E+11	2.70E+32
1925	J1807+0756	0.464300493	1.29E-16	7.935	1.822	4.446	2.185	5.69E+07	2.48E+11	5.10E+31
1926	J1916+3224	1.137449726	3.47E-15	7.945	1.302	7.082	5.141	5.19E+06	2.01E+12	9.30E+31
1927	J1828-1336	0.860332116	9.95E-16	7.949	-0.172	2.489	0.953	1.37E+07	9.36E+11	6.20E+31
1928	J1941+1026	0.905393888	9.96E-16	7.971	-0.854	5.89	3.197	1.44E+07	9.61E+11	5.30E+31
1929	J1907+0255	0.618760636	2.23E-16	7.986	-0.305	4.84	2.155	4.40E+07	3.76E+11	3.70E+31
1930	J1759-1940	0.254720352	9.34E-17	7.987	0.265	1.336	0.63	4.32E+07	1.56E+11	2.20E+32
1931	J1523-3235	1.504834558	9.53E-16	7.997	2.758	-2.991	1.615	2.50E+07	1.21E+12	1.10E+31
1932	B1558-50	0.864286208	6.94E-14	8	0.179	-3.916	1.526	1.97E+05	7.84E+12	4.20E+33
1933	B1849+00	2.180195178	9.70E-14	8	0.002	4.418	1.831	3.56E+05	1.47E+13	3.70E+32
1934	B1855+02	0.415823055	4.03E-14	8	-0.054	4.659	1.997	1.64E+05	4.14E+12	2.20E+34
1935	B2002+31	2.111264734	7.46E-14	8	0.003	7.469	5.634	4.49E+05	1.27E+13	3.10E+32
1936	J1948+2333	0.528352163	1.36E-14	8.048	-0.147	6.984	4.503	6.17E+05	2.71E+12	3.60E+33
1937	J1211-6324	0.433083926	2.57E-16	8.049	-0.125	-7.075	4.664	2.67E+07	3.38E+11	1.20E+32
1938	J1742-3957	1.016349195	8.20E-17	8.063	-0.722	-1.366	0.586	1.97E+08	2.91E+11	3.10E+30
1939	J1808-1020	0.596993203	7.73E-16	8.076	0.648	2.598	0.881	1.22E+07	6.87E+11	1.40E+32
1940	J1940+2245	0.258911997	1.27E-14	8.081	0.018	6.9	4.293	3.23E+05	1.84E+12	2.90E+34
1941	J1910-0112	1.360602928	1.80E-16	8.105	-0.669	4.518	1.804	1.21E+08	4.98E+11	2.80E+30
1942	J1949+2306	1.319373385	1.23E-16	8.106	-0.201	7.013	4.44	1.70E+08	4.08E+11	2.10E+30
1943	J1834-1855	1.465655771	1.93E-15	8.114	-0.704	1.981	0.663	1.20E+07	1.70E+12	2.40E+31
1944	J1536-5907	0.55784066	1.37E-15	8.135	-0.388	-4.922	2.034	6.47E+06	8.83E+11	3.10E+32
1945	B1907+12	1.441741593	8.23E-15	8.139	0.226	5.873	2.869	2.78E+06	3.49E+12	1.10E+32
1946	J1747-2809	0.052152855	1.56E-13	8.141	0.011	0.123	0.36	5.31E+03	2.88E+12	4.30E+37
1947	B1913+105	0.628969721	3.40E-17	8.148	-0.091	5.771	2.749	2.93E+08	1.48E+11	5.40E+30
1948	J1746-2856	0.945224316	1.25E-14	8.149	-0.033	0.018	0.351	1.20E+06	3.48E+12	5.80E+32
1949	J1823-1526	1.625405472	4.52E-15	8.157	-0.135	2.253	0.661	5.70E+06	2.74E+12	4.20E+31
1950	J1955+2527	0.004872766	9.12E-21	8.177	-0.224	7.266	4.756	8.47E+09	2.13E+08	3.10E+33
1951	J1755-3716	0.012786069	3.10E-20	8.181	-0.861	-0.867	0.411	6.52E+09	6.38E+08	5.90E+32
1952	J1636-2614	0.510453756	4.06E-15	8.189	1.986	-0.952	0.613	1.99E+06	1.46E+12	1.20E+33
1953	B2036+53	1.424568215	9.44E-16	8.192	1.042	8.125	8.552	2.39E+07	1.17E+12	1.30E+31
1954	J1913+0832	0.134409004	4.57E-15	8.204	-0.123	5.592	2.499	4.66E+05	7.93E+11	7.40E+34
1955	J1407-6153	0.701614949	8.85E-15	8.205	-0.051	-6.116	3.03	1.26E+06	2.52E+12	1.00E+33
1956	J1746-2849	1.478480373	1.27E-14	8.217	-0.004	0.019	0.283	1.84E+06	4.38E+12	1.60E+32
1957	J1907+0918	0.22610711	9.43E-14	8.224	0.105	5.611	2.488	3.80E+04	4.67E+12	3.20E+35
1958	J1850+0423	0.290716217	9.14E-17	8.234	0.321	4.919	1.905	5.04E+07	1.65E+11	1.50E+32
1959	J1837-1243	1.876018524	3.65E-14	8.27	-0.384	2.823	0.736	8.14E+05	8.38E+12	2.20E+32
1960	J1908+0839	0.185397244	2.39E-15	8.272	0.033	5.595	2.407	1.23E+06	6.73E+11	1.50E+34
1961	J1231-6303	1.351236393	1.32E-16	8.279	-0.039	-7.123	4.28	1.62E+08	4.27E+11	2.10E+30
1962	J1909+0749	0.237161293	1.52E-13	8.286	-0.049	5.534	2.334	2.47E+04	6.07E+12	4.50E+35
1963	J1745-2900	3.76373308	1.76E-11	8.3	-0.007	-0.008	0.2	3.40E+03	2.60E+14	1.30E+34
1964	J1843-0050	0.782598469	2.49E-16	8.3	0.197	4.31	1.41	4.97E+07	4.47E+11	2.10E+31
1965	J1946+2535	0.515167051	5.64E-15	8.305	0.041	7.32	4.577	1.45E+06	1.73E+12	1.60E+33
1966	J1836-0517	0.45724503	1.30E-15	8.315	0.133	3.711	1.06	5.56E+06	7.81E+11	5.40E+32
1967	J1834-0633	0.317314883	6.00E-16	8.354	0.111	3.553	0.94	8.32E+06	4.43E+11	7.50E+32
1968	B1325-49	1.478721356	6.10E-16	8.396	1.898	-6.345	3.339	3.84E+07	9.61E+11	7.40E+30
1969	J1838-1849	0.488242009	4.00E-17	8.398	-0.839	2.118	0.417	1.93E+08	1.41E+11	1.40E+31
1970	J1119-6127	0.407962984	4.02E-12	8.4	-0.079	-7.78	5.333	1.61E+03	4.10E+13	2.30E+36
1971	J2111+2106	3.95385296	3.24E-15	8.408	-2.627	7.476	5.69	1.93E+07	3.62E+12	2.10E+30
1972	J1935+1159	1.93975818	9.48E-16	8.421	-0.596	6.302	2.947	3.24E+07	1.37E+12	5.10E+30
1973	J1901-0315	0.801693097	2.57E-15	8.445	-0.54	4.36	1.288	4.94E+06	1.45E+12	2.00E+32
1974	J1537-5645	0.430464124	2.78E-15	8.465	-0.139	-4.941	1.628	2.45E+06	1.11E+12	1.40E+33
1975	J1914+0659	0.018511823	3.10E-20	8.467	-0.273	5.639	2.19	9.46E+09	7.67E+08	1.90E+32
1976	J1940+2337	0.546824158	7.68E-14	8.468	0.078	7.288	4.189	1.13E+05	6.56E+12	1.90E+34
1977	J1413-6141	0.28562462	3.33E-13	8.494	-0.05	-6.266	2.766	1.36E+04	9.88E+12	5.60E+35
1978	J1244-6359	0.14727431	4.40E-18	8.497	-0.168	-7.188	3.973	5.30E+08	2.58E+10	5.40E+31
1979	B1718-19	1.004037457	1.62E-15	8.5	1.438	0.709	0.153	9.80E+06	1.29E+12	6.30E+31
1980	B1745-20A	0.288602792	3.99E-16	8.5	0.563	1.14	0.096	1.15E+07	3.44E+11	6.60E+32
1981	J1748-2021D	0.01349582	5.87E-19	8.5	0.565	1.141	0.096	3.64E+08	2.85E+09	9.40E+33
1982	J1748-2021E	0.016264003	3.12E-19	8.5	0.564	1.141	0.096	8.25E+08	2.28E+09	2.90E+33
1983	J1847-0443	0.34083213	2.83E-17	8.517	-0.202	4.039	1.004	1.91E+08	9.95E+10	2.80E+31
1984	J1314-6101	2.948389604	1.17E-14	8.539	0.257	-6.93	3.518	3.99E+06	5.94E+12	1.80E+31
1985	J1437-5959	0.061696123	8.59E-15	8.543	0.034	-5.958	2.377	1.14E+05	7.37E+11	1.40E+36
1986	J1900+0634	0.389869101	5.13E-15	8.595	0.149	5.502	1.898	1.21E+06	1.43E+12	3.40E+33
1987	J2011+3331	0.931733093	1.79E-15	8.603	-0.007	8.15	5.745	8.27E+06	1.31E+12	8.70E+31
1988	J1557-4258	0.329186858	3.30E-16	8.63	1.194	-3.575	0.737	1.58E+07	3.34E+11	3.70E+32
1989	J1842-0309	0.404919644	4.52E-15	8.637	0.088	4.197	0.952	1.42E+06	1.37E+12	2.70E+33
1990	J1811-1049	2.623858562	8.00E-16	8.667	0.579	2.774	0.309	5.20E+07	1.47E+12	1.70E+30
1991	J1948+2551	0.196626814	9.02E-15	8.698	0.02	7.695	4.444	3.45E+05	1.35E+12	4.70E+34
